f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.447,0.569,0.710,0.853,0.901,0.894,0.965,0.885,0.790,1.014,0.999,0.937,0.702,0.610,0.554,0.583,NoTouching
0.916,0.750,0.867,0.645,0.832,0.870,0.585,0.800,0.732,1.020,1.027,0.927,0.969,0.829,1.138,1.281,NoTouching
0.515,0.591,0.880,1.030,1.050,0.879,0.738,0.700,0.584,0.766,0.874,0.967,0.782,0.709,0.588,0.584,NoTouching
0.995,0.941,0.867,0.779,0.697,0.637,0.330,0.166,0.202,0.401,0.130,0.134,0.199,0.306,0.247,0.142,NoTouching
0.699,0.793,1.098,0.789,0.541,0.358,0.331,0.371,0.467,0.644,0.704,0.689,0.711,0.788,1.118,1.092,NoTouching
0.986,0.640,0.528,0.382,0.292,0.356,0.400,0.376,0.332,0.434,0.441,0.592,0.659,0.822,0.844,0.292,NoTouching
0.961,0.866,0.773,0.671,0.679,0.732,0.803,0.887,0.783,0.780,0.838,0.967,0.942,0.848,0.729,0.679,NoTouching
0.767,0.654,0.753,0.933,1.014,0.975,0.909,0.860,0.844,0.845,0.870,0.832,0.810,0.932,0.969,1.010,NoTouching
1.680,1.766,1.844,2.921,0.384,1.453,2.699,1.207,0.490,-0.132,-2.036,-0.321,1.930,1.593,2.441,5.962,NoTouching
-1.095,1.605,1.532,2.017,4.417,2.356,1.418,1.493,-0.054,-3.105,0.215,2.048,1.740,3.051,3.683,2.479,NoTouching
1.687,1.671,1.595,4.356,2.578,1.523,1.486,0.119,-2.714,-0.397,1.798,1.647,2.370,4.479,2.092,1.419,NoTouching
1.901,1.794,4.968,2.605,1.414,1.372,0.334,-2.637,-0.613,1.825,1.650,2.189,4.720,2.799,1.464,1.403,NoTouching
2.207,4.718,2.115,1.420,1.178,-0.201,-3.069,0.097,1.823,1.167,2.541,3.885,2.021,1.765,1.362,0.237,NoTouching
2.018,1.206,1.503,0.708,-2.010,-2.318,1.291,1.684,1.070,3.866,3.287,1.393,1.562,1.040,-1.827,-3.378,NoTouching
1.929,1.413,-0.287,-3.301,-0.076,1.804,1.572,1.755,4.244,3.898,1.873,1.755,1.545,-0.572,-3.007,-0.481,NoTouching
