f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
-68.013,94.973,-59.275,0.347,0.185,0.283,0.344,0.168,0.281,2.000,0.000,5.000,-0.226,-0.188,0.148,1.311,2.066,1.226,Touching
-62.230,63.587,-82.528,0.284,0.477,0.076,0.272,0.467,0.073,2.000,1.000,0.000,0.226,-0.166,-0.027,1.228,1.221,2.523,Touching
-64.036,104.236,-51.097,0.312,0.189,0.207,0.296,0.185,0.205,3.000,0.000,2.000,0.173,-0.179,-0.159,1.348,1.736,1.361,Touching
-75.256,72.099,-71.659,0.336,0.285,0.173,0.314,0.285,0.167,4.000,2.000,0.000,0.326,-0.031,-0.426,1.405,1.455,1.806,Touching
-52.164,33.097,-97.082,0.338,0.474,0.243,0.331,0.407,0.222,4.000,1.000,0.000,-0.236,-0.627,0.172,1.285,1.574,1.958,Touching
-55.024,85.912,-83.697,0.367,0.183,0.188,0.348,0.159,0.170,3.000,0.000,0.000,-0.341,-0.786,0.496,1.309,1.888,1.887,Touching
-70.740,51.245,-96.160,0.348,0.298,0.175,0.325,0.298,0.169,7.000,4.000,0.000,0.183,-0.094,-0.207,1.410,1.633,1.883,Touching
-68.193,81.550,-69.397,0.381,0.123,0.336,0.375,0.122,0.336,5.000,0.000,5.000,-0.026,0.463,0.062,1.306,2.789,1.275,Touching
-56.181,63.828,-104.773,0.338,0.169,0.186,0.331,0.167,0.186,5.000,0.000,0.000,-0.011,-0.169,0.066,1.384,1.902,1.570,Touching
-67.362,52.524,-110.582,0.264,0.149,0.150,0.256,0.145,0.139,1.000,0.000,0.000,0.619,0.569,-0.624,1.751,2.332,2.717,Touching
-52.018,90.306,-79.860,0.331,0.066,0.331,0.330,0.062,0.318,4.000,0.000,0.000,-0.122,1.096,0.252,1.305,4.284,1.317,Touching
-87.457,68.264,-52.198,0.361,0.146,0.383,0.346,0.143,0.347,7.000,0.000,6.000,0.316,0.307,-0.500,1.666,2.773,1.561,Touching
-60.395,7.809,-109.926,0.314,0.363,0.217,0.313,0.359,0.208,7.000,1.000,0.000,0.061,0.057,-0.685,1.363,1.362,2.562,Touching
